,Balanced strategy
Worst day,-0.06372513729417772
Best day,0.07697529421482709
Monthly 5% quantile,-0.0957253796202403
Worst month,-0.15223437406689688
Positive month share,0.5555555555555556
Daily VaR 95%,-0.02608731896964994
Daily CVaR 95%,-0.03591896098738209
Longest losing streak (days),6.0
Average gross exposure,1.0037272528356194
Maximum gross exposure,1.25
Annual turnover,11.460985219055367
Cumulative cost / initial capital,0.0343829556571661
