,Total Return,ARR,Annual Volatility,Sharpe,Sortino,Max Drawdown,Calmar
Balanced strategy,0.8421623020613251,0.2268599552353019,0.259785623046518,0.9170844412376657,1.3402995459211189,0.3519550074357394,0.6445708981047028
Unscaled selected signal,0.7491800742857806,0.20577792836559738,0.2595749516667023,0.8507441505153908,1.2420565661486782,0.3634635577148829,0.5661583506729959
Equal Weight 30,0.6484758007900866,0.18208620466905856,0.22875442498657547,0.84576518497369,1.2342845361776924,0.30786366485758376,0.5914507798550724
QQQ benchmark,0.3303673604060031,0.10024270396316481,0.23763510113972972,0.5208510097717857,0.742409126862951,0.35118718383840075,0.28543952791082383
